smiles,c9h10n2o2pf2cl
OC=NNP=CC1=CC(F)=C(Cl)C1CC(O)F,1.0
OC=NNP=CC1=CC(Cl)C(F)=C1COCF,1.0
OC=NNP=CC1=CC(Cl)C(F)=C1CCOF,1.0
OC=NNP=CC1=CC(Cl)C(F)=C1CC(O)F,1.0
OC=NNP=CC1=CC(Cl)=C(F)C1COCF,1.0
OC=NNP=CC1=CC(Cl)=C(F)C1CC(O)F,1.0
OC=NNP=CC1=C(F)OC(Cl)=CC1CCF,1.0
OC=NNP=CC1=C(F)C=C(Cl)C1COCF,1.0
OC=NNP=CC1=C(F)C=C(Cl)C1CCOF,1.0
OC=NNP=CC1=C(Cl)CC(F)=C1CCOF,1.0
OC=NNP=CC1=C(Cl)CC(F)=C1CC(O)F,1.0
OC=NNP=CC1=C(Cl)C=C(F)C1COCF,1.0
OC=NNP=CC1=C(Cl)C=C(F)C1CCOF,1.0
OC=NNP=CC1=C(Cl)C=C(F)C1CC(O)F,1.0
OC=NNP=C=C=C(Cl)C=C(F)CCCOF,1.0
OC=NNP=C1C=CC(F)C(Cl)=C1COCF,1.0
OC=NNP=C1C=CC(F)=C(Cl)C1CCOF,1.0
OC=NNP=C1C=C(F)CC(Cl)=C1COCF,1.0
OC=NNP=C1C=C(F)C=C(Cl)C1COCF,1.0
OC=NN1C2C(Cl)=C(F)C=CC=[PH]1C2OCF,1.0
OC=CC[PH]1=C=CC(F)=C(Cl)C(COF)=NN1,1.0
OC=CC[PH]1=C=CC(F)=C(Cl)C(C(O)F)=NN1,1.0
OC=CC1=C(F)CON2N=C(C(F)Cl)C=[PH]2C1,1.0
OC=CC(C=C=PNN=COCF)=C(F)CCl,1.0
OC=C1OC(CF)=C1C[PH]1=C(Cl)C(F)C=NN1,1.0
OC=C1C[PH]2=CC1C(F)=C(Cl)C(C(O)F)=NN2,1.0
OC1C=NN[PH](Cc2cc(Cl)oc2CF)=C1F,1.0
OC1=NN[PH]2=CC(C(Cl)=CC(F)=C2)C1OCF,1.0
OC1=NN[PH](=CC2=CC(F)=C(Cl)C2)C1OCF,1.0
OC1=NN[PH](=CC2=C(F)OC(Cl)=CC2)C1CF,1.0
OC1=NN[PH](=CC2=C(Cl)CC(F)=C2)C1OCF,1.0
OC1=NN[PH](=CC2=C(Cl)CC(F)=C2)C1C(O)F,1.0
OC1=NN[PH](=CC2=C(Cl)C=C(F)C2)C1OCF,1.0
OC1=NN[PH](=CC2=C(Cl)C=C(F)C2)C1COF,1.0
OC1=NN[PH](=CC2=C(Cl)C=C(F)C2)C1C(O)F,1.0
OC1=NN[PH](=C2C=C(F)CC(Cl)=C2)C1OCF,1.0
OC1=NN[PH](=C2C=C(F)CC(Cl)=C2)C1COF,1.0
OC1=NN[PH](=C2C=C(F)CC(Cl)=C2)C1C(O)F,1.0
OC1=NN[PH](=C2C=C(F)C=C(Cl)C2)C1OCF,1.0
OC1=NN[PH](=C2C=C(Cl)C(CF)=C2)C1OCF,1.0
OC1=CC[PH](NN=CC(O)F)=C=CC(F)=C1Cl,1.0
OC1=CC(C[PH]2=CC(C(F)Cl)=NN2)=CC(F)O1,1.0
OC1=CC(C[PH]2=CC(C(F)Cl)=NN2)=C(F)CO1,1.0
OC1=CC(C[PH]2=C(F)C(Cl)C=NN2)=C(F)CO1,1.0
OC1=CC(C[PH]2=C(Cl)C(F)C=NN2)=CC(F)O1,1.0
OC1=CC(C[PH]2=C(Cl)C(F)C=NN2)=C(F)CO1,1.0
OC1=C2C[PH](NN=CCOF)=CC2C(F)=C1Cl,1.0
OC1=C2C[PH](NN=CCOF)=CC2=C(F)C1Cl,1.0
OC1=C2C[PH](NN=CC(O)F)=CC2C(F)=C1Cl,1.0
OC1=C2C[PH](NN=CC(O)F)=CC2=C(F)C1Cl,1.0
OC1=C2C=[PH](NN=CCOF)CC2=C(F)C1Cl,1.0
OC1=C2C=[PH](NN=CC(O)F)CC2C(F)=C1Cl,1.0
OC1=C2C=[PH](NN=CC(O)F)CC2=C(F)C1Cl,1.0
OC1=C(C[PH]2=CC(O)(F)C=NN2)CC(Cl)=C1F,1.0
OC1=C(C[PH]2=CC(O)(F)C=NN2)C=C(Cl)C1F,1.0
OC1=C(CC=PNN=CC(O)F)C=C(F)C1Cl,1.0
OC1(F)C[PH]2=NN=C1COC(F)=CC(Cl)=CC2,1.0
OC1(F)C=NN[PH]2=CC=C(Cl)OC=C(F)C1C2,1.0
OC1(F)C=NN[PH](Cc2cc(Cl)oc2CF)=C1,1.0
OC1(F)C=NN[PH](CC=CC2(F)C=C(Cl)O2)=C1,1.0
OC1(F)C=NN[PH](CC2=COC(F)=C(Cl)C2)=C1,1.0
OC1(F)C=NN[PH](CC2=COC(Cl)=C(F)C2)=C1,1.0
OC1(F)C=NN[PH](CC2=CC(F)OC(Cl)=C2)=C1,1.0
OC1(F)C=NN[PH](CC2=C(F)COC(Cl)=C2)=C1,1.0
OC1(F)C=NN[PH](CC2=C(F)C=C(Cl)OC2)=C1,1.0
OC1(F)C=NN[PH](CC2=C(Cl)C=C(F)OC2)=C1,1.0
OC1(F)C=NN=[PH](CC=CC2(F)C=C(Cl)O2)C1,1.0
OC1(F)C=NN=[PH](CC2=COC(F)=C(Cl)C2)C1,1.0
OC1(F)C=NN=[PH](CC2=COC(Cl)=C(F)C2)C1,1.0
OC1(F)C=NN=[PH](CC2=CC(F)OC(Cl)=C2)C1,1.0
OC1(F)C=NN=[PH](CC2=C(F)COC(Cl)=C2)C1,1.0
OC1(F)C=NN=[PH](CC2=C(Cl)C=C(F)OC2)C1,1.0
OC1(CF)C=NN=[PH](Cc2oc(F)cc2Cl)C1,1.0
OC1(C=CC[PH]2=CC(F)(F)C=NN2)C=C(Cl)O1,1.0
OC(O)(F)C=NN[PH]1=CC2=CC(Cl)C(F)=C2C1,1.0
OC(O)(F)C=NN[PH]1=CC2=C(F)C(Cl)=CC2C1,1.0
OC(O)(F)C=NN[PH]1=CC2=C(Cl)CC(F)=C2C1,1.0
OC(O)(F)C=NN[PH]1=CC2=C(Cl)C=C(F)C2C1,1.0
OC(O)(F)C=NN[PH]1=CC2=C(CCl)C(F)=C2C1,1.0
OC(F)C=NON[PH]1=CC2=C(F)C(Cl)=CC2C1,1.0
OC(F)C=NON[PH]1=CC2=C(Cl)C=C(F)C2C1,1.0
OC(F)C=NN[PH]1=CC=C(F)OC(Cl)C#CC1,1.0
OC(F)C=NN[PH]1=CC=C(F)OC(Cl)=C=CC1,1.0
OC(F)C=NN[PH]1=CC=C(Cl)OCC(F)=C=C1,1.0
OC(F)C=NN[PH]1=CC=C(Cl)OC(F)C=C=C1,1.0
OC(F)C=NN[PH]1=CC=C(Cl)OC(F)C#CC1,1.0
OC(F)C=NN[PH]1=CC2OC(F)=CC(Cl)=C2C1,1.0
OC(F)C=NN[PH]1=CC2OC(Cl)=C(F)C=C2C1,1.0
OC(F)C=NN[PH]1=CC2C(=COC(F)=C2Cl)C1,1.0
OC(F)C=NN[PH]1=CC2C(=COC(Cl)=C2F)C1,1.0
OC(F)C=NN[PH]1=CC2=COC(F)=C(Cl)C2C1,1.0
OC(F)C=NN[PH]1=CC2=CC(F)OC(Cl)=C2C1,1.0
OC(F)C=NN[PH]1=CC2=C(F)OC=C(Cl)C2C1,1.0
OC(F)C=NN[PH]1=CC2=C(F)OC(Cl)C=C2C1,1.0
OC(F)C=NN[PH]1=CC2=C(F)OC(Cl)=CC2C1,1.0
OC(F)C=NN[PH]1=CC2=C(Cl)OCC(F)=C2C1,1.0
OC(F)C=NN[PH]1=CC2=C(Cl)OC=C(F)C2C1,1.0
OC(F)C=NN[PH]1=CC2=C(Cl)OC(F)C=C2C1,1.0
OC(F)C=NN[PH]1=CC2=C(Cl)CC(OF)=C2C1,1.0
OC(F)C=NN[PH]1=CC2=C(Cl)C=C(F)OC2C1,1.0
OC(F)C=NN[PH]1=CC2=C(Cl)C(F)OC=C2C1,1.0
OC(F)C=NN[PH]1=C=CC(F)=C(Cl)OC=CC1,1.0
OC(F)C=NNP=CCC=CC1(F)C=C(Cl)O1,1.0
OC(F)C=NNP=CCC1=COC(F)=C(Cl)C1,1.0
OC(F)C=NNP=CCC1=CC(F)OC(Cl)=C1,1.0
OC(F)C=NNP=CCC1=C(F)COC(Cl)=C1,1.0
OC(F)C=NNP=CCC1=C(F)C=C(Cl)OC1,1.0
OC(F)C=NNP=CCC1=C(Cl)C=C(F)OC1,1.0
OC(F)C=NN=[PH]1CC2=COC(F)=C(Cl)C2C1,1.0
OC(F)C=NN=[PH]1CC2=CC(F)OC(Cl)=C2C1,1.0
OC(F)C=NN=[PH]1CC2=C(F)COC(Cl)=C2C1,1.0
OC(F)C=NN=[PH]1CC2=C(Cl)C=C(F)OC2C1,1.0
OC(F)C=NN1C=[PH]1CC=CC1(F)C=C(Cl)O1,1.0
OC(F)C=NN1C=[PH]1CC1=COC(Cl)=C(F)C1,1.0
OC(F)C=NN1C2=C(Cl)C=C(F)OCC=[PH]1C2,1.0
OC(F)C1OC=NN[PH]1=CC1=C(Cl)CC(F)=C1,1.0
OC(F)C1C2=C(F)CC(Cl)=CC=[PH]1NN=CO2,1.0
OC(F)C1=NN[PH]2=CC(OC=CC2)C(F)=C1Cl,1.0
OC(F)C1=NN[PH](CC2=COC(F)=C(Cl)C2)=C1,1.0
OC(F)C1=NN[PH](CC2=COC(Cl)=C(F)C2)=C1,1.0
OC(F)C1=NN[PH](CC2=CC(F)OC(Cl)=C2)=C1,1.0
OC(F)C1=NN[PH](CC2=CC(F)=C(Cl)OC2)=C1,1.0
OC(F)C1=NN[PH](CC2=C(F)COC(Cl)=C2)=C1,1.0
OC(F)C1=NN[PH](CC2=C(Cl)C=C(F)OC2)=C1,1.0
OC(F)C1=NN[PH](=CC2=CC(F)OC(Cl)=C2)C1,1.0
OC(F)C1=NN[PH](=CC2=CC(F)=C(Cl)OC2)C1,1.0
OC(F)C1=NN[PH](=CC2=C(F)C=C(Cl)OC2)C1,1.0
OC(F)C1=NNC=C(Cl)OC(F)C=CC=[PH]=C1,1.0
OC(F)C1=NN=[PH](CC2=C(Cl)C=C(F)OC2)C1,1.0
OC(F)C1=NN2C=C(Cl)OC(F)C=CC[PH]2=C1,1.0
OC(F)=C[PH]1=NN=CCOC(F)=CC(Cl)=CC1,1.0
OC(Cl)C=NN[PH]1=CC=C(F)OC(F)=C=CC1,1.0
OC(Cl)C=NNP=CCC1=CC(F)OC(F)=C1,1.0
OC(Cl)C1=NNP=CCC=CC(F)OC(F)=C1,1.0
OC(Cl)=C=C(F)C=CCC=PNN=CC(O)F,1.0
OC(COCF)=NNP=CC1=C(Cl)CC(F)=C1,1.0
OC(COCF)=NNP=CC1=C(Cl)C=C(F)C1,1.0
OC(COCF)=NNP=C1C=C(F)C=C(Cl)C1,1.0
OC(CCF)=NNP=CC1=C(F)OC(Cl)=CC1,1.0
OC(CC(O)F)=NNP=CC1=C(Cl)CC(F)=C1,1.0
OC(CC(O)F)=NNP=CC1=C(Cl)C=C(F)C1,1.0
OC(=NN[PH]1=CC2=C(F)C(Cl)=CC2C1)C(O)F,1.0
OC(=NN[PH]1=CC2=C(Cl)CC(F)=C2C1)OCF,1.0
O=P1(c2ccc(F)c(O)c2Cl)NCC(CF)N1,1.0
O=P1(c2cc(O)c(F)c(F)c2Cl)NCCCN1,1.0
O=P1(c2cc(O)c(F)c(Cl)c2F)NCCCN1,1.0
O=P1(c2cc(F)c(O)c(Cl)c2F)NCCCN1,1.0
O=P1(c2cc(F)c(F)c(Cl)c2O)NCCCN1,1.0
O=P1(c2cc(F)c(Cl)cc2O)NCC(CF)N1,1.0
O=P1(c2cc(F)c(Cl)c(O)c2F)NCCCN1,1.0
O=P1(c2cc(F)c(Cl)c(F)c2O)NCCCN1,1.0
O=P1(c2cc(Cl)c(F)cc2O)NCC(CF)N1,1.0
O=P1(c2cc(Cl)c(F)c(O)c2F)NCCCN1,1.0
O=P1(c2cc(Cl)c(F)c(F)c2O)NCCCN1,1.0
O=P1(c2c(O)cc(F)c(Cl)c2F)NCCCN1,1.0
O=P1(c2c(O)c(F)cc(F)c2Cl)NCCCN1,1.0
O=P1(c2c(F)cc(Cl)c(F)c2O)NCCCN1,1.0
O=P1(c2c(F)c(O)cc(F)c2Cl)NCCCN1,1.0
O=P1(c2c(Cl)cc(F)c(F)c2O)NCCCN1,1.0
O=P1(Oc2ccccc2F)NCC(C(F)Cl)N1,1.0
O=P1(Oc2cccc(F)c2F)NCC(CCl)N1,1.0
O=P1(Oc2cccc(F)c2Cl)NCC(CF)N1,1.0
O=P1(Oc2cccc(F)c2)NCC(C(F)Cl)N1,1.0
O=P1(Oc2cccc(Cl)c2F)NCC(CF)N1,1.0
O=P1(Oc2cccc(Cl)c2)NCC(C(F)F)N1,1.0
O=P1(Oc2ccc(F)cc2Cl)NCC(CF)N1,1.0
O=P1(Oc2ccc(F)cc2)NCC(C(F)Cl)N1,1.0
O=P1(Oc2ccc(F)c(F)c2Cl)NCCCN1,1.0
O=P1(Oc2ccc(F)c(F)c2)NCC(CCl)N1,1.0
O=P1(Oc2ccc(F)c(Cl)c2F)NCCCN1,1.0
O=P1(Oc2ccc(F)c(Cl)c2)NCC(CF)N1,1.0
O=P1(Oc2ccc(Cl)cc2F)NCC(CF)N1,1.0
O=P1(Oc2ccc(Cl)cc2)NCC(C(F)F)N1,1.0
O=P1(Oc2ccc(Cl)c(F)c2F)NCCCN1,1.0
O=P1(Oc2ccc(Cl)c(F)c2)NCC(CF)N1,1.0
O=P1(Oc2cc(F)ccc2F)NCC(CCl)N1,1.0
O=P1(Oc2cc(F)ccc2Cl)NCC(CF)N1,1.0
O=P1(Oc2cc(F)cc(F)c2Cl)NCCCN1,1.0
O=P1(Oc2cc(F)cc(F)c2)NCC(CCl)N1,1.0
O=P1(Oc2cc(F)cc(Cl)c2F)NCCCN1,1.0
O=P1(Oc2cc(F)cc(Cl)c2)NCC(CF)N1,1.0
O=P1(Oc2cc(F)c(F)cc2Cl)NCCCN1,1.0
O=P1(Oc2cc(F)c(F)c(Cl)c2)NCCCN1,1.0
O=P1(Oc2cc(F)c(Cl)cc2F)NCCCN1,1.0
O=P1(Oc2cc(F)c(Cl)c(F)c2)NCCCN1,1.0
O=P1(Oc2cc(Cl)ccc2F)NCC(CF)N1,1.0
O=P1(Oc2cc(Cl)cc(F)c2F)NCCCN1,1.0
O=P1(Oc2cc(Cl)c(F)cc2F)NCCCN1,1.0
O=P1(Oc2c(F)cccc2F)NCC(CCl)N1,1.0
O=P1(Oc2c(F)cccc2Cl)NCC(CF)N1,1.0
O=P1(Oc2c(F)ccc(F)c2Cl)NCCCN1,1.0
O=P1(Oc2c(F)ccc(Cl)c2F)NCCCN1,1.0
O=P1(Oc2c(F)cc(F)cc2Cl)NCCCN1,1.0
O=P1(Oc2c(F)cc(Cl)cc2F)NCCCN1,1.0
O=P1(Oc2c(Cl)ccc(F)c2F)NCCCN1,1.0
O=P1(OCl)NCCCN1c1ccc(F)cc1F,1.0
O=P1(OCl)NCCCN1c1c(F)cccc1F,1.0
O=P1(OCCF)NCC1c1nccc(F)c1Cl,1.0
O=P1(OCCF)NCC1c1nccc(Cl)c1F,1.0
O=P1(OCCF)NCC1c1ncc(F)cc1Cl,1.0
O=P1(OCCF)NCC1c1ncc(Cl)cc1F,1.0
O=P1(OCCF)NCC1c1nc(F)ccc1Cl,1.0
O=P1(OCCF)NCC1c1nc(Cl)ccc1F,1.0
O=P1(OCCF)NCC1c1cncc(F)c1Cl,1.0
O=P1(OCCF)NCC1c1cncc(Cl)c1F,1.0
O=P1(OCCF)NCC1c1cnc(F)c(Cl)c1,1.0
O=P1(OCCF)NCC1c1cnc(Cl)c(F)c1,1.0
O=P1(OCCF)NCC1c1ccc(F)c(Cl)n1,1.0
O=P1(OCCF)NCC1c1ccc(Cl)c(F)n1,1.0
O=P1(OCCF)NCC1c1cc(F)ncc1Cl,1.0
O=P1(OCCF)NCC1c1cc(F)cc(Cl)n1,1.0
O=P1(OCCF)NCC1c1cc(F)c(Cl)cn1,1.0
O=P1(OCCF)NCC1c1cc(Cl)cc(F)n1,1.0
O=P1(OCCF)NCC1c1cc(Cl)c(F)cn1,1.0
O=P1(OCCF)NCC1c1c(F)cncc1Cl,1.0
O=P1(OCCF)NCC1c1c(F)ccnc1Cl,1.0
O=P1(OCC(F)F)NCC1c1ncccc1Cl,1.0
O=P1(OCC(F)F)NCC1c1cccc(Cl)n1,1.0
O=P1(OCC(F)F)NCC1c1ccc(Cl)cn1,1.0
O=P1(OCC(F)F)NCC1c1cc(Cl)ccn1,1.0
O=P1(OCC(F)Cl)NCC1c1cccnc1F,1.0
O=P1(OC(F)F)NCC(c2ccccc2Cl)N1,1.0
O=P1(OC(F)F)NCC(c2cccc(Cl)c2)N1,1.0
O=P1(OC(F)F)NCC(c2ccc(Cl)cc2)N1,1.0
O=P1(OC(F)Cl)NCC(c2ccccc2F)N1,1.0
O=P1(OC(F)Cl)NCC(c2cccc(F)c2)N1,1.0
O=P1(OC(Cl)CF)NCC1c1ccc(F)cn1,1.0
O=P1(O)NN(c2ccccc2F)CC1C(F)Cl,1.0
O=P1(O)NN(c2cccc(F)c2F)CC1CCl,1.0
O=P1(O)NN(c2cccc(F)c2Cl)CC1CF,1.0
O=P1(O)NN(c2cccc(Cl)c2F)CC1CF,1.0
O=P1(O)NN(c2ccc(F)cc2F)CC1CCl,1.0
O=P1(O)NN(c2ccc(F)cc2Cl)CC1CF,1.0
O=P1(O)NN(c2ccc(F)c(F)c2)CC1CCl,1.0
O=P1(O)NN(c2ccc(F)c(Cl)c2)CC1CF,1.0
O=P1(O)NN(c2ccc(Cl)cc2F)CC1CF,1.0
O=P1(O)NN(c2ccc(Cl)c(F)c2)CC1CF,1.0
O=P1(O)NN(c2cc(F)ccc2F)CC1CCl,1.0
O=P1(O)NN(c2cc(F)ccc2Cl)CC1CF,1.0
O=P1(O)NN(c2cc(F)cc(F)c2)CC1CCl,1.0
O=P1(O)NN(c2cc(F)cc(Cl)c2)CC1CF,1.0
O=P1(O)NN(c2cc(Cl)ccc2F)CC1CF,1.0
O=P1(O)NN(c2c(F)cccc2F)CC1CCl,1.0
O=P1(O)NN(c2c(F)cccc2Cl)CC1CF,1.0
O=P1(O)NN(C(F)Cl)CC1c1cccc(F)c1,1.0
O=P1(O)NN(C(F)Cl)CC1c1ccc(F)cc1,1.0
O=P1(O)NC(CF)CC1c1ccc(F)c(Cl)n1,1.0
O=P1(O)NC(CF)CC1c1ccc(Cl)c(F)n1,1.0
O=P1(O)CC(CCl)N(c2ccc(F)c(F)c2)N1,1.0
O=P1(Nc2cccc(F)c2F)NCC(CCl)O1,1.0
O=P1(Nc2cccc(F)c2Cl)NCC(CF)O1,1.0
O=P1(Nc2cccc(Cl)c2F)NCC(CF)O1,1.0
O=P1(Nc2ccc(F)cc2Cl)NCC(CF)O1,1.0
O=P1(Nc2ccc(F)c(F)c2)NCC(CCl)O1,1.0
O=P1(Nc2ccc(F)c(Cl)c2)NCC(CF)O1,1.0
O=P1(Nc2ccc(Cl)cc2F)NCC(CF)O1,1.0
O=P1(Nc2ccc(Cl)c(F)c2)NCC(CF)O1,1.0
O=P1(Nc2cc(F)ccc2Cl)NCC(CF)O1,1.0
O=P1(Nc2cc(F)cc(F)c2Cl)NCCCO1,1.0
O=P1(Nc2cc(F)cc(F)c2)NCC(CCl)O1,1.0
O=P1(Nc2cc(F)cc(Cl)c2)NCC(CF)O1,1.0
O=P1(Nc2cc(F)c(F)c(Cl)c2)NCCCO1,1.0
O=P1(Nc2cc(Cl)ccc2F)NCC(CF)O1,1.0
O=P1(Nc2c(F)cccc2Cl)NCC(CF)O1,1.0
O=P1(CO)NCC(c2ccc(F)c(Cl)c2F)N1,1.0
O=P1(CO)NCC(c2cc(Cl)c(F)cc2F)N1,1.0
O=P1(C(F)CF)NCC1c1ncc(Cl)cc1O,1.0
O=CC=CC(F)=CCPNN=C(CCl)C(=O)F,1.0
O=CC1(F)C=NN=[PH](CC2COC(F)=C2Cl)C1,1.0
O=CC1(F)C=NN=[PH](CC2=C(Cl)C(F)OC2)C1,1.0
O=CC(F)C=NN1CC2(F)COC(Cl)=CC=[PH]12,1.0
O=CC(F)C=NN1CC(F)COC(Cl)=CC#[PH]1,1.0
O=CC(F)=CCC(F)=CPNN=C(C=O)CCl,1.0
O=CC(F)=CC=CCPNN=C(CCl)C(=O)F,1.0
O=CC(F)=C(C=CO)C[PH]1=C(Cl)C(F)C=NN1,1.0
O=CC(C=C[PH]1=C(Cl)C(F)C=NN1)=C(F)CO,1.0
O=C=CCCC(F)=CPNN=C(CCl)C(=O)F,1.0
O=C=CCC(F)C=CPNN=C(CCl)C(=O)F,1.0
O=C=C(F)CC=CCPNN=C(CCl)C(=O)F,1.0
O=C=C(F)C=CCCPNN=C(CCl)C(=O)F,1.0
O=C(NCO)NC1=C(Cl)C=PC(=C(F)CF)C1,1.0
O=C(NCNCO)C1=C(F)C(Cl)=CPC(F)=C1,1.0
O=C(NCCO)N(F)C1=CC=PCC(Cl)=C1F,1.0
O=C(NCCCl)NC(=O)C1=C(CF)C(F)P=C1,1.0
O=C(F)NC(CCl)=NPCC1=COCC(F)=C1,1.0
O=C(F)NC(CCl)=NPCC1=COC=C(F)C1,1.0
O=C(F)CC=NNCC1(F)COC(Cl)=CC#[PH]1,1.0
O=C(F)CC=NN1CC2(F)COC(Cl)=CC=[PH]12,1.0
O=C(F)CC=NN1CC(F)COC(Cl)=CC#[PH]1,1.0
O=C(F)C=NN[PH]1=CC=C(Cl)OC(F)C=CC1,1.0
O=C(F)C1=NNP(CC2=C(O)CC(F)C2)C1Cl,1.0
O=C(F)C1=NN(C=CCl)[PH](CC=CC(O)F)=C1,1.0
O=C(F)C1(CCl)NNPC1C1=COCC(F)=C1,1.0
O=C(F)C(N=CCl)NPCC1=C(F)C=C(O)C1,1.0
O=C(F)C(Cl)NNPCc1ccc(F)cc1O,1.0
O=C(F)C(Cl)NC=NPCC1C=C(O)C=C1F,1.0
O=C(F)C(Cl)NC=NPCC1=C(F)CC(O)=C1,1.0
O=C(F)C(CF)=NNPC1C=C(O)C=C(Cl)C1,1.0
O=C(F)C(CF)=NNPC1=CC=C(Cl)COC1,1.0
O=C(F)C(CCl)=NPNC1C=C(O)C=C(F)C1,1.0
O=C(F)C(CCl)=NNPCC=C1CC(F)=CO1,1.0
O=C(F)C(CCl)=NNPCC=C1C=CC(F)O1,1.0
O=C(F)C(CCl)=NNPCC=C1C=C(F)CO1,1.0
O=C(F)C(CCl)=NNPCC=C(F)C=C1CO1,1.0
O=C(F)C(CCl)=NNPCC1C=CC(F)=CO1,1.0
O=C(F)C(CCl)=NNPCC1C=C(F)C=CO1,1.0
O=C(F)C(CCl)=NNPCC1=COCC(F)=C1,1.0
O=C(F)C(CCl)=NNPCC1=COC=C(F)C1,1.0
O=C(F)C(CCl)=NNPCC1=CC=C(F)OC1,1.0
O=C(F)C(CCl)=NNPCC1=CC=C(F)CO1,1.0
O=C(F)C(CCl)=NNPCC1=CC=C(F)C1O,1.0
O=C(F)C(CCl)=NNPCC1=C(O)CC(F)=C1,1.0
O=C(F)C(CCl)=NNPCC1=C(O)C=C(F)C1,1.0
O=C(F)C(CCl)=NNPCC1=C(F)CC(O)=C1,1.0
O=C(F)C(CCl)=NNPCC1=C(F)C=COC1,1.0
O=C(F)C(CCl)=NNPCC1=C(F)C=C(O)C1,1.0
O=C(F)C(CCl)=NNPC=CC(F)CC1=CO1,1.0
O=C(F)C(CCl)=NNPC=C(F)CCC1=CO1,1.0
O=C(F)C(CCl)=NNPC1C=COCC(F)=C1,1.0
O=C(F)C(CCl)=NNPC1C=COC=C(F)C1,1.0
O=C(F)C(CCl)=NNPC1C=CC=C(F)C1O,1.0
O=C(F)C(CCl)=NNPC1C=C(O)CC(F)=C1,1.0
O=C(F)C(CCl)=NNPC1C=C(O)C=C(F)C1,1.0
O=C(F)C(CCl)=NNPC1=COCC(F)=CC1,1.0
O=C(F)C(CCl)=NNPC1=CCC(F)=COC1,1.0
O=C(F)C(CCl)=NNPC1=CC=C(F)COC1,1.0
O=C(F)C(CCl)=NNPC1=CC(F)CC(O)=C1,1.0
O=C(F)C(CCl)=NNPC1=C(O)CCC(F)=C1,1.0
O=C(F)C(CCl)=NNPC1=C(O)CC(F)=CC1,1.0
O=C(F)C(CCl)=NNPC1=C(O)C=C(F)CC1,1.0
O=C(F)C(CCl)=NNPC1=C(F)CCC(O)=C1,1.0
O=C(F)C(CCl)=NNPC#CCC=C(F)CO,1.0
O=C(F)C(CCl)=NNP1CC=CC=C(F)CO1,1.0
O=C(F)C(CCl)=NNP1CC=CC(O)=CC1F,1.0
O=C(F)C(CCl)=NNP1CC=C(O)C=C(F)C1,1.0
O=C(CO)NNC1C=C(Cl)C=CPC1=C(F)F,1.0
O=C(CO)NNC1=CC(Cl)=PCC(=C(F)F)C1,1.0
O=C(CO)NNC1=C(F)CP=C(Cl)C(F)C=C1,1.0
O=C(CNO)NCc1cc([P-](F)Cl)ccc1F,1.0
O=C(CNCO)NC1=CC(Cl)=CPC(F)=C1F,1.0
O=C(CN(F)CO)NC1=CC(F)=CPC(Cl)=C1,1.0
O=C(CCO)NNC1=C(F)C=PC(F)C=C1Cl,1.0
O=C(CCO)NNC1=C(Cl)C(F)=PCC1=CF,1.0
O=C(CCO)NNC1=C(Cl)C(=CF)PC(F)=C1,1.0
