smiles,c11h24
CCCC(C)C(C)CC(C)C,1.0
CCCC(C)C(C)C(C)CC,1.0
CCCC(C)C(C)C(C)(C)C,1.0
CCCC(C)C(C)(CC)CC,1.0
CCCC(C)C(C)(C)CCC,1.0
CCCC(C)C(C)(C)C(C)C,1.0
CCCC(C)(CCC)CCC,1.0
CCCC(C)(CCC)C(C)C,1.0
CCCC(C)(CC)CC(C)C,1.0
CCCC(C)(CC)C(C)CC,1.0
CCCC(C)(CC)C(C)(C)C,1.0
CCCC(C)(C)CCC(C)C,1.0
CCCC(C)(C)CC(C)CC,1.0
CCCC(C)(C)CC(C)(C)C,1.0
CCCC(C)(C)C(CC)CC,1.0
CCCC(C)(C)C(C)C(C)C,1.0
CCCC(C)(C)C(C)(C)CC,1.0
CCCC(C)(C(C)C)C(C)C,1.0
CCCC(C(C)C)[C+](C)(C)C,1.0
CCCC(C(C)C)C(C)CC,1.0
CCCC(C(C)C)C(C)(C)C,1.0
CCC([C+](C)(C)C)[C+](C)(C)C,1.0
CCC(CCC(C)C)C(C)C,1.0
CCC(CC)[C+](C)(C)C(C)C,1.0
CCC(CC)C[C+](C)(C)CC,1.0
CCC(CC)CC[C+](C)(C)C,1.0
CCC(CC)CCCC(C)C,1.0
CCC(CC)CCC(C)(C)C,1.0
CCC(CC)CC(CC)CC,1.0
CCC(CC)CC(C)C(C)C,1.0
CCC(CC)CC(C)(C)CC,1.0
CCC(CC)C(CC)C(C)C,1.0
CCC(CC)C(C)CC(C)C,1.0
CCC(CC)C(C)C(C)(C)C,1.0
CCC(CC)C(C)(CC)CC,1.0
CCC(CC)C(C)(C)C(C)C,1.0
CCC(CC)(CC)CC(C)C,1.0
CCC(CC)(CC)C(C)(C)C,1.0
CCC(CC)(C(C)C)C(C)C,1.0
CCC(CC(C)C)[C+](C)(C)C,1.0
CCC(CC(C)C)CC(C)C,1.0
CCC(CC(C)C)C(C)(C)C,1.0
CCC(CC(C)(C)C)C(C)C,1.0
CCC(C)[C+](CC)(CC)CC,1.0
CCC(C)[C+](C)(C)[C+](C)(C)C,1.0
CCC(C)[C+](C)(C)CC(C)C,1.0
CCC(C)[C+](C)(C)C(C)(C)C,1.0
CCC(C)C[C+](C)(CC)CC,1.0
CCC(C)C[C+](C)(C)C(C)C,1.0
CCC(C)CC[C+](C)(C)CC,1.0
CCC(C)CCCCC(C)C,1.0
CCC(C)CCCC(C)CC,1.0
CCC(C)CCCC(C)(C)C,1.0
CCC(C)CCC(CC)CC,1.0
CCC(C)CCC(C)C(C)C,1.0
CCC(C)CCC(C)(C)CC,1.0
CCC(C)CC(CC)C(C)C,1.0
CCC(C)CC(C)[C+](C)(C)C,1.0
CCC(C)CC(C)CC(C)C,1.0
CCC(C)CC(C)C(C)CC,1.0
CCC(C)CC(C)C(C)(C)C,1.0
CCC(C)CC(C)(CC)CC,1.0
CCC(C)CC(C)(C)C(C)C,1.0
CCC(C)C(CC)[C+](C)(C)C,1.0
CCC(C)C(CC)CC(C)C,1.0
CCC(C)C(CC)C(C)CC,1.0
CCC(C)C(CC)C(C)(C)C,1.0
CCC(C)C(CC)(CC)CC,1.0
CCC(C)C(C)[C+](C)(C)CC,1.0
CCC(C)C(C)CCC(C)C,1.0
CCC(C)C(C)CC(C)(C)C,1.0
CCC(C)C(C)C(CC)CC,1.0
CCC(C)C(C)C(C)C(C)C,1.0
CCC(C)C(C)C(C)(C)CC,1.0
CCC(C)C(C)(CC)C(C)C,1.0
CCC(C)C(C)(C)[C+](C)(C)C,1.0
CCC(C)C(C)(C)CC(C)C,1.0
CCC(C)C(C)(C)C(C)CC,1.0
CCC(C)C(C)(C)C(C)(C)C,1.0
CCC(C)C(C(C)C)C(C)C,1.0
CCC(C)(CC)[C+](C)(C)CC,1.0
CCC(C)(CC)C[C+](C)(C)C,1.0
CCC(C)(CC)CCC(C)C,1.0
CCC(C)(CC)CC(C)(C)C,1.0
CCC(C)(CC)C(C)C(C)C,1.0
CCC(C)(CC(C)C)C(C)C,1.0
CCC(C)(C)[C+](C)(C)C(C)C,1.0
CCC(C)(C)C[C+](C)(C)CC,1.0
CCC(C)(C)CCCC(C)C,1.0
CCC(C)(C)CCC(C)(C)C,1.0
CCC(C)(C)CC(C)C(C)C,1.0
CCC(C)(C)CC(C)(C)CC,1.0
CCC(C)(C)C(C)CC(C)C,1.0
CCC(C)(C)C(C)C(C)(C)C,1.0
CCC(C)(C)C(C)(CC)CC,1.0
CCC(C)(C)C(C)(C)C(C)C,1.0
CCC(C)(C(C)C)[C+](C)(C)C,1.0
CCC(C)(C(C)C)C(C)(C)C,1.0
CCC(C(C)C)[C+](C)(C)CC,1.0
CCC(C(C)C)C(C)C(C)C,1.0
CCC(C(C)C)C(C)(C)CC,1.0
CCC(C(C)(C)C)C(C)(C)C,1.0
CC(C[C+](C)(C)C)[C+](C)(C)C,1.0
CC(C[C+](C)(C)C)C(C)(C)C,1.0
CC(CC(C)(C)C)[C+](C)(C)C,1.0
CC(CC(C)(C)C)C(C)(C)C,1.0
CC(C)[C+](C)(C)CC(C)(C)C,1.0
CC(C)[C+](C)(C(C)C)C(C)C,1.0
CC(C)C[C+](C)(C)[C+](C)(C)C,1.0
CC(C)C[C+](C)(C)C(C)(C)C,1.0
CC(C)CCCCCC(C)C,1.0
CC(C)CCCCC(C)(C)C,1.0
CC(C)CCCC(C)C(C)C,1.0
CC(C)CCC(C)[C+](C)(C)C,1.0
CC(C)CCC(C)CC(C)C,1.0
CC(C)CCC(C)C(C)(C)C,1.0
CC(C)CCC(C)(C)C(C)C,1.0
CC(C)CC(C)C[C+](C)(C)C,1.0
CC(C)CC(C)CC(C)(C)C,1.0
CC(C)CC(C)C(C)C(C)C,1.0
CC(C)CC(C)(C)CC(C)C,1.0
CC(C)CC(C)(C)C(C)(C)C,1.0
CC(C)CC(C(C)C)C(C)C,1.0
CC(C)C(C)[C+](C)(C)C(C)C,1.0
CC(C)C(C)CC[C+](C)(C)C,1.0
CC(C)C(C)CCC(C)(C)C,1.0
CC(C)C(C)CC(C)C(C)C,1.0
CC(C)C(C)C(C)[C+](C)(C)C,1.0
CC(C)C(C)C(C)C(C)(C)C,1.0
CC(C)C(C)C(C)(C)C(C)C,1.0
CC(C)C(C)(C)C[C+](C)(C)C,1.0
CC(C)C(C)(C)CC(C)(C)C,1.0
CC(C)C(C)(C(C)C)C(C)C,1.0
CC(C)C(C(C)C)C(C)(C)C,1.0
CC(C)(C)[C+](C)(C)C(C)(C)C,1.0
CC(C)(C)CCCC(C)(C)C,1.0
CC(C)(C)C(C)(C)[C+](C)(C)C,1.0
CC(C)(C)C(C)(C)C(C)(C)C,1.0
C[Si](C)(C)CCC1CCCCC1,0.9591894571091382
C[SH]=CCCCCCCC(C)C,0.9591894571091382
C[SH]=CCC(C)CCCC(C)C,0.9591894571091382
C[SH]=C(C)CCCCCC(C)C,0.9591894571091382
C[SH]=C(C)C(C)CCCC(C)C,0.9591894571091382
C[N-]CCCCCCCC(C)C,0.9591894571091382
C[N-]CCCCCCC(C)(C)C,0.9591894571091382
C[N-]CCCC(C)(C)CC(C)C,0.9591894571091382
C[N-]CC(C)CCCCC(C)C,0.9591894571091382
C[N-]CC(C)(C)CCC(C)(C)C,0.9591894571091382
C[N-]C(C)(C)CCCCC(C)C,0.9591894571091382
C[N+]1(C)CCCCCCCCC1,0.9591894571091382
C[N+](C)=CCCCCC(C)(C)C,0.9591894571091382
C[N+](C)(C)CCC1CCCCC1,0.9591894571091382
C[N+](C)(C)CC1CCCCCC1,0.9591894571091382
CSCCCCCCCC(C)C,0.9591894571091382
CSCCCCCCC(C)(C)C,0.9591894571091382
CSCCCCC(C)CC(C)C,0.9591894571091382
CSCCCCC(C)C(C)(C)C,0.9591894571091382
CSCCCC(C)CCC(C)C,0.9591894571091382
CSCCC(CC(C)C)C(C)C,0.9591894571091382
CSCCC(C)(C)C(C)C(C)C,0.9591894571091382
CSCC(C)CCCCC(C)C,0.9591894571091382
CSCC(C)CCCC(C)(C)C,0.9591894571091382
CSCC(C)CCC(C)C(C)C,0.9591894571091382
CSC(CC(C)C(C)C)C(C)C,0.9591894571091382
CSC(C)CCCCCC(C)C,0.9591894571091382
CSC(C)CCCCC(C)(C)C,0.9591894571091382
CSC(C)CCCC(C)C(C)C,0.9591894571091382
CSC(C)CCC(C)CC(C)C,0.9591894571091382
CSC(C)CCC(C)C(C)(C)C,0.9591894571091382
CSC(C)CC(C)CCC(C)C,0.9591894571091382
CSC(C)C(C)(C)CCC(C)C,0.9591894571091382
CSC(C)(C)CCCCC(C)C,0.9591894571091382
CSC(C)(C)CCC(C)C(C)C,0.9591894571091382
CSC(C)(C)CC(C)C(C)(C)C,0.9591894571091382
COCCCCCCCC(C)C,0.9591894571091382
COCCCCCCC(C)(C)C,0.9591894571091382
COCCCCC(C)CC(C)C,0.9591894571091382
COCCCCC(C)C(C)(C)C,0.9591894571091382
COCCCC(C)CCC(C)C,0.9591894571091382
COCCCC(C)CC(C)(C)C,0.9591894571091382
COCCCC(C)(C)CC(C)C,0.9591894571091382
COCCC(C)CCCC(C)C,0.9591894571091382
COCCC(C)CCC(C)(C)C,0.9591894571091382
COCCC(C)C(C)CC(C)C,0.9591894571091382
COCC(C)CCCCC(C)C,0.9591894571091382
COCC(C)CCCC(C)(C)C,0.9591894571091382
COCC(C)CCC(C)C(C)C,0.9591894571091382
COCC(C)CC(C)CC(C)C,0.9591894571091382
COC(CC(C)C)C(C)C(C)C,0.9591894571091382
COC(C)CCCCCC(C)C,0.9591894571091382
COC(C)CCCCC(C)(C)C,0.9591894571091382
COC(C)CCCC(C)C(C)C,0.9591894571091382
COC(C)CC(C)(C)CC(C)C,0.9591894571091382
COC(C)C(C)CCCC(C)C,0.9591894571091382
COC(C)C(C)CCC(C)(C)C,0.9591894571091382
COC(C)C(C)C(C)CC(C)C,0.9591894571091382
COC(C)(CC(C)C)CC(C)C,0.9591894571091382
COC(C)(C)CCCCC(C)C,0.9591894571091382
COC(C)(C)CCC(C)C(C)C,0.9591894571091382
COC(C)(C)C(C)CCC(C)C,0.9591894571091382
COC(C)(C)C(C)CC(C)(C)C,0.9591894571091382
COC(C)(C)C(C)C(C)C(C)C,0.9591894571091382
COC(C(C)C)C(C)C(C)(C)C,0.9591894571091382
CC[N-]CCCCCCC(C)C,0.9591894571091382
CC[N-]CCCCCC(C)CC,0.9591894571091382
CC[N-]CCCCC(CC)CC,0.9591894571091382
CC[N-]CCCCC(C)C(C)C,0.9591894571091382
CC[N-]CCCC(C)CC(C)C,0.9591894571091382
CC[N+]1(CC)CC(C)C(C)(C)C1,0.9591894571091382
CC[N+]1(C)CCCCCCC1C,0.9591894571091382
CC[N+]1(C)CCC(C)(C)CC1C,0.9591894571091382
CC[N+](C)=CCCCC(C)(C)C,0.9591894571091382
CC[N+](C)(CC)CC1CCCC1,0.9591894571091382
CC[N+](C)(C)CC1CCCCC1,0.9591894571091382
CC[N+](C)(C)C1CCCCC1C,0.9591894571091382
CCSCCCCCCC(C)C,0.9591894571091382
CCSCCCCCC(C)CC,0.9591894571091382
CCSCCCCCC(C)(C)C,0.9591894571091382
CCSCCCCC(CC)CC,0.9591894571091382
CCSCCCCC(C)C(C)C,0.9591894571091382
CCSCCCC(C)C(C)(C)C,0.9591894571091382
CCSCCCC(C)(C)C(C)C,0.9591894571091382
CCSCCC(C)CCC(C)C,0.9591894571091382
CCSCC(CC)CC(C)CC,0.9591894571091382
CCSCC(CC(C)C)C(C)C,0.9591894571091382
CCSCC(C)CCCC(C)C,0.9591894571091382
CCSCC(C)CCC(C)CC,0.9591894571091382
CCSCC(C)CCC(C)(C)C,0.9591894571091382
CCSC(CC)CCCC(C)C,0.9591894571091382
CCSC(CC)CCC(C)(C)C,0.9591894571091382
CCSC(CC(C)C)C(C)CC,0.9591894571091382
CCSC(C)CCCCC(C)C,0.9591894571091382
CCSC(C)CCCC(C)CC,0.9591894571091382
CCSC(C)CCCC(C)(C)C,0.9591894571091382
CCSC(C)CCC(C)C(C)C,0.9591894571091382
CCSC(C)CC(C)C(C)(C)C,0.9591894571091382
CCOCCCCCCC(C)C,0.9591894571091382
CCOCCCCCC(C)CC,0.9591894571091382
CCOCCCCCC(C)(C)C,0.9591894571091382
CCOCCCCC(CC)CC,0.9591894571091382
CCOCCCCC(C)C(C)C,0.9591894571091382
CCOCCCCC(C)(C)CC,0.9591894571091382
CCOCCCC(CC)C(C)C,0.9591894571091382
CCOCCCC(C)CC(C)C,0.9591894571091382
CCOCCCC(C)C(C)(C)C,0.9591894571091382
CCOCCC(C)CCC(C)C,0.9591894571091382
CCOCCC(C)CC(C)(C)C,0.9591894571091382
CCOCCC(C)C(C)C(C)C,0.9591894571091382
CCOCC(C)CCCC(C)C,0.9591894571091382
CCOCC(C)CCC(C)CC,0.9591894571091382
CCOCC(C)CCC(C)(C)C,0.9591894571091382
CCOCC(C)C(C)C(C)CC,0.9591894571091382
CCOCC(C)(C)C(C)(C)CC,0.9591894571091382
CCOC(C)CCCCC(C)C,0.9591894571091382
CCOC(C)CCCC(C)(C)C,0.9591894571091382
CCOC(C)CCC(C)(C)CC,0.9591894571091382
CCC[SH]=C(CC)C(C)CCC,0.9591894571091382
CCC[N-]CCCCC(C)CC,0.9591894571091382
CCC[N-]CCCC(CC)CC,0.9591894571091382
CCC[N-]CCCC(C)CCC,0.9591894571091382
CCC[N-]CCC(CC)CCC,0.9591894571091382
CCC[N-]CCC(C)CC(C)C,0.9591894571091382
CCC[N-]CCC(C)C(C)(C)C,0.9591894571091382
CCC[N-]CCC(C)(C)CCC,0.9591894571091382
CCC[N-]CC(C)CC(C)(C)C,0.9591894571091382
CCC[N-]C(CCC)CC(C)C,0.9591894571091382
CCC[N-]C(C)CCCC(C)C,0.9591894571091382
CCC[N-]C(C)(C)C(C)CCC,0.9591894571091382
CCC[N+]1(CC)CCCCCC1,0.9591894571091382
CCC[N+]1(CC)CC(C)C1(C)C,0.9591894571091382
CCC[N+]1(C)CCC(C)(C)CC1,0.9591894571091382
CCC[N+](C)(C)CC1CCCC1,0.9591894571091382
CCCSCCCCCC(C)C,0.9591894571091382
CCCSCCCCC(C)CC,0.9591894571091382
CCCSCCCCC(C)(C)C,0.9591894571091382
CCCSCCCC(CC)CC,0.9591894571091382
CCCSCCCC(C)C(C)C,0.9591894571091382
CCCSCCC(C)CC(C)C,0.9591894571091382
CCCSCCC(C)C(C)(C)C,0.9591894571091382
CCCSCCC(C)(CC)CC,0.9591894571091382
CCCSCC(CCC)C(C)C,0.9591894571091382
CCCSCC(CC)CC(C)C,0.9591894571091382
CCCSCC(C)C(CC)CC,0.9591894571091382
CCCSCC(C)C(C)CCC,0.9591894571091382
CCCSCC(C)C(C)C(C)C,0.9591894571091382
CCCSCC(C)(C)C(C)CC,0.9591894571091382
CCCSCC(C)(C)C(C)(C)C,0.9591894571091382
CCCSC(CC)C(C)C(C)C,0.9591894571091382
CCCSC(C)CCC(C)CC,0.9591894571091382
CCCSC(C)CC(CC)CC,0.9591894571091382
CCCSC(C)CC(C)CCC,0.9591894571091382
CCCSC(C)CC(C)C(C)C,0.9591894571091382
CCCOCCCCCC(C)C,0.9591894571091382
CCCOCCCCC(C)CC,0.9591894571091382
CCCOCCCCC(C)(C)C,0.9591894571091382
CCCOCCCC(CC)CC,0.9591894571091382
CCCOCCCC(C)CCC,0.9591894571091382
CCCOCCCC(C)(C)CC,0.9591894571091382
CCCOCCC(CC)CCC,0.9591894571091382
CCCOCCC(CC)C(C)C,0.9591894571091382
CCCOCCC(C)C(C)CC,0.9591894571091382
CCCOCCC(C)(CC)CC,0.9591894571091382
CCCOCC(CCC)CCC,0.9591894571091382
CCCOCC(C)CC(C)CC,0.9591894571091382
CCCOCC(C)C(CC)CC,0.9591894571091382
CCCOCC(C)C(C)C(C)C,0.9591894571091382
CCCOCC(C)(CC)CCC,0.9591894571091382
CCCOCC(C)(CC)C(C)C,0.9591894571091382
CCCOCC(C)(C)CC(C)C,0.9591894571091382
CCCOC(CC)CC(C)CC,0.9591894571091382
CCCOC(CC)C(CC)CC,0.9591894571091382
CCCOC(CC)C(C)CCC,0.9591894571091382
CCCOC(CC(C)C)C(C)C,0.9591894571091382
CCCOC(C)CC(C)CCC,0.9591894571091382
CCCOC(C)(CCC)CCC,0.9591894571091382
CCCC[N-]CCCCC(C)C,0.9591894571091382
CCCC[N-]CCCC(C)CC,0.9591894571091382
CCCC[N-]CCCC(C)(C)C,0.9591894571091382
CCCC[N-]CC(CC)CCC,0.9591894571091382
CCCC[N-]CC(CC)C(C)C,0.9591894571091382
CCCC[N+](C)(C)CC=C(C)C,0.9591894571091382
CCCCSCCCCC(C)C,0.9591894571091382
CCCCSCCCC(C)CC,0.9591894571091382
CCCCSCCCC(C)(C)C,0.9591894571091382
CCCCSCCC(CC)CC,0.9591894571091382
CCCCSCCC(C)CCC,0.9591894571091382
CCCCSCCC(C)(C)CC,0.9591894571091382
CCCCSCC(C)CC(C)C,0.9591894571091382
CCCCSCC(C)C(C)CC,0.9591894571091382
CCCCSC(C)CCC(C)C,0.9591894571091382
CCCCSC(C)CC(C)(C)C,0.9591894571091382
CCCCSC(C)C(C)CCC,0.9591894571091382
CCCCSC(C)(CC)CCC,0.9591894571091382
CCCCSC(C)(CC)C(C)C,0.9591894571091382
CCCCSC(C)(C)CCCC,0.9591894571091382
CCCCOCCCCC(C)C,0.9591894571091382
CCCCOCCCC(C)CC,0.9591894571091382
CCCCOCCCC(C)(C)C,0.9591894571091382
CCCCOCCC(CC)CC,0.9591894571091382
CCCCOCCC(C)CCC,0.9591894571091382
CCCCOCCC(C)C(C)C,0.9591894571091382
CCCCOCC(CC)CCC,0.9591894571091382
CCCCOCC(C)CC(C)C,0.9591894571091382
CCCCOCC(C)C(C)(C)C,0.9591894571091382
CCCCOCC(C)(CC)CC,0.9591894571091382
CCCCOC(CCC)CCC,0.9591894571091382
CCCCOC(CC)CCCC,0.9591894571091382
CCCCOC(CC)C(C)CC,0.9591894571091382
CCCCOC(C)CC(C)(C)C,0.9591894571091382
CCCCOC(C)C(C)CCC,0.9591894571091382
CCCCOC(C)(CC)C(C)C,0.9591894571091382
CCCCC[N-]CCC(C)(C)C,0.9591894571091382
CCCCC[N-]CC(CC)CC,0.9591894571091382
CCCCC[N+]1(C)CCCCC1,0.9591894571091382
CCCCC[N+](C)(C)CC1CC1,0.9591894571091382
CCCCC[N+](C)(C)C1CCC1,0.9591894571091382
CCCCCSCCCC(C)C,0.9591894571091382
CCCCCSCCC(C)CC,0.9591894571091382
CCCCCSCCC(C)(C)C,0.9591894571091382
CCCCCSCC(C)CCC,0.9591894571091382
CCCCCSCC(C)C(C)C,0.9591894571091382
CCCCCSCC(C)(C)CC,0.9591894571091382
CCCCCSC(C)CC(C)C,0.9591894571091382
CCCCCSC(C)C(C)CC,0.9591894571091382
CCCCCSC(C)(C)CCC,0.9591894571091382
CCCCCSC(C)(C)C(C)C,0.9591894571091382
CCCCCOCCCC(C)C,0.9591894571091382
CCCCCOCCC(C)CC,0.9591894571091382
CCCCCOCCC(C)(C)C,0.9591894571091382
CCCCCOCC(C)CCC,0.9591894571091382
CCCCCOCC(C)C(C)C,0.9591894571091382
CCCCCOCC(C)(C)CC,0.9591894571091382
CCCCCOC(CC)CCC,0.9591894571091382
CCCCCOC(C)CC(C)C,0.9591894571091382
CCCCCOC(C)C(C)CC,0.9591894571091382
CCCCCOC(C)C(C)(C)C,0.9591894571091382
CCCCCOC(C)(C)CCC,0.9591894571091382
CCCCCOC(C)(C)C(C)C,0.9591894571091382
CCCCCC[SH]=CC(C)CC,0.9591894571091382
CCCCCC[N-]CCCCC,0.9591894571091382
CCCCCC[N-]CCC(C)C,0.9591894571091382
CCCCCC[N+]1(C)CCCC1,0.9591894571091382
CCCCCCSCCCCC,0.9591894571091382
CCCCCCSCCC(C)C,0.9591894571091382
CCCCCCSCC(C)CC,0.9591894571091382
CCCCCCSCC(C)(C)C,0.9591894571091382
CCCCCCSC(CC)CC,0.9591894571091382
CCCCCCSC(C)(C)CC,0.9591894571091382
CCCCCCOCCCCC,0.9591894571091382
CCCCCCOCCC(C)C,0.9591894571091382
CCCCCCOC(CC)CC,0.9591894571091382
CCCCCCOC(C)CCC,0.9591894571091382
CCCCCCOC(C)(C)CC,0.9591894571091382
CCCCCCC[N-]CC(C)C,0.9591894571091382
CCCCCCC[N-]C(C)(C)C,0.9591894571091382
CCCCCCCSCCCC,0.9591894571091382
CCCCCCCSCC(C)C,0.9591894571091382
CCCCCCCSC(C)CC,0.9591894571091382
CCCCCCCSC(C)(C)C,0.9591894571091382
CCCCCCCOCCCC,0.9591894571091382
CCCCCCCOCC(C)C,0.9591894571091382
CCCCCCCOC(C)(C)C,0.9591894571091382
CCCCCCCC[N-]CCC,0.9591894571091382
CCCCCCCC[N-]C(C)C,0.9591894571091382
CCCCCCCCSCCC,0.9591894571091382
CCCCCCCCSC(C)C,0.9591894571091382
CCCCCCCCOCCC,0.9591894571091382
CCCCCCCCOC(C)C,0.9591894571091382
CCCCCCCCC[N-]CC,0.9591894571091382
CCCCCCCCCSCC,0.9591894571091382
CCCCCCCCCOCC,0.9591894571091382
CCCCCCCCCC[N-]C,0.9591894571091382
CCCCCCCCCCSC,0.9591894571091382
CCCCCCCCCCOC,0.9591894571091382
CCCCCCCCCCCS,0.9591894571091382
CCCCCCCCCCCO,0.9591894571091382
CCCCCCCCCC=[SH]C,0.9591894571091382
CCCCCCCCCC(C)S,0.9591894571091382
CCCCCCCCCC(C)O,0.9591894571091382
CCCCCCCCC=[N+](C)C,0.9591894571091382
CCCCCCCCC(O)CC,0.9591894571091382
CCCCCCCCC(C)SC,0.9591894571091382
CCCCCCCCC(C)OC,0.9591894571091382
CCCCCCCCC(C)CS,0.9591894571091382
CCCCCCCCC(C)CO,0.9591894571091382
CCCCCCCCC(C)=[SH]C,0.9591894571091382
CCCCCCCCC(C)(C)O,0.9591894571091382
CCCCCCCC=[SH]CCC,0.9591894571091382
CCCCCCCC(S)CCC,0.9591894571091382
CCCCCCCC(O)CCC,0.9591894571091382
CCCCCCCC(O)C(C)C,0.9591894571091382
CCCCCCCC(CC)SC,0.9591894571091382
CCCCCCCC(CC)OC,0.9591894571091382
CCCCCCCC(CC)CS,0.9591894571091382
CCCCCCCC(CC)CO,0.9591894571091382
CCCCCCCC(C)SCC,0.9591894571091382
CCCCCCCC(C)OCC,0.9591894571091382
CCCCCCCC(C)C[N-]C,0.9591894571091382
CCCCCCCC(C)CSC,0.9591894571091382
CCCCCCCC(C)COC,0.9591894571091382
CCCCCCCC(C)CCS,0.9591894571091382
CCCCCCCC(C)CCO,0.9591894571091382
CCCCCCCC(C)C(C)O,0.9591894571091382
CCCCCCCC(C)=[N+](C)C,0.9591894571091382
CCCCCCCC(C)(S)CC,0.9591894571091382
CCCCCCCC(C)(O)CC,0.9591894571091382
CCCCCCCC(C)(C)[N-]C,0.9591894571091382
CCCCCCCC(C)(C)SC,0.9591894571091382
CCCCCCCC(C)(C)OC,0.9591894571091382
CCCCCCCC(C)(C)CS,0.9591894571091382
CCCCCCCC(C)(C)CO,0.9591894571091382
CCCCCCC=[SH]CCCC,0.9591894571091382
CCCCCCC=[SH]C(C)(C)C,0.9591894571091382
CCCCCCC(SC)C(C)C,0.9591894571091382
CCCCCCC(S)CCCC,0.9591894571091382
CCCCCCC(S)CC(C)C,0.9591894571091382
CCCCCCC(S)C(C)CC,0.9591894571091382
