smiles,albuterol-similarity
[O-][N-]C(P)NC[O+](S)c1ccc(O)c(CS)[o+]1,1.0
[O-][N-]C(P)NC[O+](S)c1ccc(O)c(CO)p1,1.0
[O-][N-]C(P)NC[O+](S)c1ccc(O)c(CO)c1,1.0
[O-][N-]C(P)NC[O+](S)c1cc([N-]O)c(O)cp1,1.0
[O-][N-]C(P)NC[O+](S)c1cc(PS)c(S)cp1,1.0
[O-][N-]C(P)NC[O+](S)c1cc(PS)c(O)cp1,1.0
[O-][N-]C(P)NC[O+](S)c1cc(PO)c(S)p[o+]1,1.0
[O-][N-]C(P)NC[O+](S)c1cc(CS)c(S)p[o+]1,1.0
[O-][N-]C(P)NC[O+](S)c1cc(CS)c(S)cp1,1.0
[O-][N-]C(P)NC[O+](S)c1c[o+]c(S)c([N-]S)c1,1.0
[O-][N-]C(P)NC[O+](S)c1c[o+]c(S)c([N-]S)[o+]1,1.0
[O-][N-]C(P)NC[O+](S)c1c[o+]c(S)c([N-]O)c1,1.0
[O-][N-]C(P)NC[O+](S)c1c[o+]c(S)c(PS)c1,1.0
[O-][N-]C(P)NC[O+](S)c1c[o+]c(S)c(PO)c1,1.0
[O-][N-]C(P)NC[O+](S)c1c[o+]c(S)c(CS)p1,1.0
[O-][N-]C(P)NC[O+](S)c1c[o+]c(S)c(CS)c1,1.0
[O-][N-]C(P)NC[O+](S)c1c[o+]c(S)c(CS)[o+]1,1.0
[O-][N-]C(P)NC[O+](S)c1c[o+]c(S)c(CO)p1,1.0
[O-][N-]C(P)NC[O+](S)c1c[o+]c(S)c(CO)c1,1.0
[O-][N-]C(P)NC[O+](S)c1c[o+]c(S)c(CO)[o+]1,1.0
[O-][N-]C(P)NC[O+](S)c1c[o+]c(O)c([N-]O)c1,1.0
[O-][N-]C(P)NC[O+](S)c1c[o+]c(O)c(PS)p1,1.0
[O-][N-]C(P)NC[O+](S)c1c[o+]c(O)c(PS)c1,1.0
[O-][N-]C(P)NC[O+](S)c1c[o+]c(O)c(PO)c1,1.0
[O-][N-]C(P)NC[O+](S)c1c[o+]c(O)c(CS)p1,1.0
[O-][N-]C(P)NC[O+](S)c1c[o+]c(O)c(CS)c1,1.0
[O-][N-]C(P)NC[O+](S)c1c[o+]c(O)c(CS)[o+]1,1.0
[O-][N-]C(P)NC[O+](S)c1c[o+]c(O)c(CO)p1,1.0
[O-][N-]C(P)NC[O+](S)c1c[o+]c(O)c(CO)c1,1.0
[O-][N-]C(P)NC[O+](S)c1c[o+]c(O)c(CO)[o+]1,1.0
[O-][N-]C(P)NC[O+](S)c1[o+]pc(S)c([N-]O)[o+]1,1.0
[O-][N-]C(P)NC[O+](S)c1[o+]pc(S)c(PO)[o+]1,1.0
[O-][N-]C(P)NC[O+](S)c1[o+]pc(O)c([N-]O)[o+]1,1.0
[O-][N-]C(P)NC[O+](S)c1[o+]pc(O)c(PS)[o+]1,1.0
[O-][N-]C(P)NC[O+](S)c1[o+]pc(O)c(PO)[o+]1,1.0
[O-][N-]C(P)NC[O+](S)c1[o+]c([N-]S)c(O)cp1,1.0
[O-][N-]C(P)NC[O+](S)c1[o+]c([N-]O)c(O)cp1,1.0
[O-][N-]C(P)NC[O+](S)c1[o+]c(PO)c(S)cp1,1.0
[O-][N-]C(P)NC[O+](O)c1pcc(S)c([N-]O)p1,1.0
[O-][N-]C(P)NC[O+](O)c1pcc(S)c(PS)p1,1.0
[O-][N-]C(P)NC[O+](O)c1pcc(S)c(PO)p1,1.0
[O-][N-]C(P)NC[O+](O)c1pcc(O)c([N-]O)p1,1.0
[O-][N-]C(P)NC[O+](O)c1pcc(O)c(PS)p1,1.0
[O-][N-]C(P)NC[O+](O)c1pcc(O)c(PO)p1,1.0
[O-][N-]C(P)NC[O+](O)c1cpc(S)c([N-]S)p1,1.0
[O-][N-]C(P)NC[O+](O)c1cpc(S)c([N-]S)c1,1.0
[O-][N-]C(P)NC[O+](O)c1cpc(S)c([N-]S)[o+]1,1.0
[O-][N-]C(P)NC[O+](O)c1cpc(S)c([N-]O)p1,1.0
[O-][N-]C(P)NC[O+](O)c1cpc(S)c([N-]O)c1,1.0
[O-][N-]C(P)NC[O+](O)c1cpc(S)c([N-]O)[o+]1,1.0
[O-][N-]C(P)NC[O+](O)c1cpc(S)c(PS)p1,1.0
[O-][N-]C(P)NC[O+](O)c1cpc(S)c(PS)c1,1.0
[O-][N-]C(P)NC[O+](O)c1cpc(S)c(PS)[o+]1,1.0
[O-][N-]C(P)NC[O+](O)c1cpc(S)c(PO)p1,1.0
[O-][N-]C(P)NC[O+](O)c1cpc(S)c(PO)c1,1.0
[O-][N-]C(P)NC[O+](O)c1cpc(S)c(PO)[o+]1,1.0
[O-][N-]C(P)NC[O+](O)c1cpc(S)c(CS)p1,1.0
[O-][N-]C(P)NC[O+](O)c1cpc(S)c(CS)c1,1.0
[O-][N-]C(P)NC[O+](O)c1cpc(S)c(CS)[o+]1,1.0
[O-][N-]C(P)NC[O+](O)c1cpc(S)c(CO)p1,1.0
[O-][N-]C(P)NC[O+](O)c1cpc(S)c(CO)c1,1.0
[O-][N-]C(P)NC[O+](O)c1cpc(O)c([N-]S)p1,1.0
[O-][N-]C(P)NC[O+](O)c1cpc(O)c([N-]S)c1,1.0
[O-][N-]C(P)NC[O+](O)c1cpc(O)c([N-]S)[o+]1,1.0
[O-][N-]C(P)NC[O+](O)c1cpc(O)c([N-]O)p1,1.0
[O-][N-]C(P)NC[O+](O)c1cpc(O)c(PS)p1,1.0
[O-][N-]C(P)NC[O+](O)c1cpc(O)c(PS)c1,1.0
[O-][N-]C(P)NC[O+](O)c1cpc(O)c(PO)p1,1.0
[O-][N-]C(P)NC[O+](O)c1cpc(O)c(PO)c1,1.0
[O-][N-]C(P)NC[O+](O)c1cpc(O)c(PO)[o+]1,1.0
[O-][N-]C(P)NC[O+](O)c1cpc(O)c(CS)p1,1.0
[O-][N-]C(P)NC[O+](O)c1cpc(O)c(CS)c1,1.0
[O-][N-]C(P)NC[O+](O)c1cpc(O)c(CS)[o+]1,1.0
[O-][N-]C(P)NC[O+](O)c1cpc(O)c(CO)p1,1.0
[O-][N-]C(P)NC[O+](O)c1cpc(O)c(CO)c1,1.0
[O-][N-]C(P)NC[O+](O)c1ccc(S)c([N-]S)c1,1.0
[O-][N-]C(P)NC[O+](O)c1ccc(S)c([N-]O)p1,1.0
[O-][N-]C(P)NC[O+](O)c1ccc(S)c([N-]O)c1,1.0
[O-][N-]C(P)NC[O+](O)c1ccc(S)c(PS)p1,1.0
[O-][N-]C(P)NC[O+](O)c1ccc(S)c(PS)c1,1.0
[O-][N-]C(P)NC[O+](O)c1ccc(S)c(PO)p1,1.0
[O-][N-]C(P)NC[O+](O)c1ccc(S)c(PO)c1,1.0
[O-][N-]C(P)NC[O+](O)c1ccc(S)c(PO)[o+]1,1.0
[O-][N-]C(P)NC[O+](O)c1ccc(S)c(CS)p1,1.0
[O-][N-]C(P)NC[O+](O)c1ccc(S)c(CS)c1,1.0
[O-][N-]C(P)NC[O+](O)c1ccc(S)c(CO)c1,1.0
[O-][N-]C(P)NC[O+](O)c1ccc(O)c([N-]S)[o+]1,1.0
[O-][N-]C(P)NC[O+](O)c1ccc(O)c([N-]O)c1,1.0
[O-][N-]C(P)NC[O+](O)c1ccc(O)c(PS)c1,1.0
[O-][N-]C(P)NC[O+](O)c1ccc(O)c(PO)p1,1.0
[O-][N-]C(P)NC[O+](O)c1ccc(O)c(PO)c1,1.0
[O-][N-]C(P)NC[O+](O)c1ccc(O)c(CS)c1,1.0
[O-][N-]C(P)NC[O+](O)c1ccc(O)c(CO)p1,1.0
[O-][N-]C(P)NC[O+](O)c1cc(PO)c(S)p[o+]1,1.0
[O-][N-]C(P)NC[O+](O)c1c[o+]c(S)c(CS)c1,1.0
[O-][N-]C(P)NCP(S)c1pcc(S)c(PS)p1,1.0
[O-][N-]C(P)NCP(S)c1cpc(O)c([N-]S)c1,1.0
[O-][N-]C(P)NCP(S)c1cpc(O)c(PS)c1,1.0
[O-][N-]C(P)NCP(S)c1cpc(O)c(CS)c1,1.0
[O-][N-]C(P)NCP(S)c1ccc(S)c(PO)c1,1.0
[O-][N-]C(P)NCC(S)c1pcc(S)c(PS)p1,1.0
[O-][N-]C(P)NCC(S)c1cpc(S)c([N-]O)[o+]1,1.0
[O-][N-]C(P)NCC(S)c1cpc(S)c(PS)p1,1.0
[O-][N-]C(P)NCC(S)c1cpc(S)c(PS)c1,1.0
[O-][N-]C(P)NCC(S)c1cpc(S)c(PO)p1,1.0
[O-][N-]C(P)NCC(S)c1cpc(S)c(PO)c1,1.0
[O-][N-]C(P)NCC(S)c1cpc(S)c(CS)c1,1.0
[O-][N-]C(P)NCC(S)c1cpc(O)c([N-]S)p1,1.0
[O-][N-]C(P)NCC(S)c1cpc(O)c(CS)c1,1.0
[O-][N-]C(P)NCC(S)c1ccc(S)c(PS)c1,1.0
[O-][N-]C(P)NCC(S)c1ccc(S)c(PO)p1,1.0
[O-][N-]C(P)NCC(S)c1ccc(S)c(CO)c1,1.0
[O-][N-]C(P)NCC(S)c1ccc(O)c(PS)c1,1.0
[O-][N-]C(P)NCC(O)c1ccc(O)c(PO)c1,1.0
[O-]PC(P)NC[O+](S)c1pcc(S)c([N-]O)p1,1.0
[O-]PC(P)NC[O+](S)c1pcc(S)c(PO)p1,1.0
[O-]PC(P)NC[O+](S)c1pcc(O)c(PS)p1,1.0
[O-]PC(P)NC[O+](S)c1cpc(S)c([N-]S)p1,1.0
[O-]PC(P)NC[O+](S)c1cpc(S)c([N-]S)c1,1.0
[O-]PC(P)NC[O+](S)c1cpc(S)c([N-]S)[o+]1,1.0
[O-]PC(P)NC[O+](S)c1cpc(S)c([N-]O)p1,1.0
[O-]PC(P)NC[O+](S)c1cpc(S)c([N-]O)c1,1.0
[O-]PC(P)NC[O+](S)c1cpc(S)c([N-]O)[o+]1,1.0
[O-]PC(P)NC[O+](S)c1cpc(S)c(PS)p1,1.0
[O-]PC(P)NC[O+](S)c1cpc(S)c(PS)c1,1.0
[O-]PC(P)NC[O+](S)c1cpc(S)c(PS)[o+]1,1.0
[O-]PC(P)NC[O+](S)c1cpc(S)c(PO)p1,1.0
[O-]PC(P)NC[O+](S)c1cpc(S)c(PO)c1,1.0
[O-]PC(P)NC[O+](S)c1cpc(S)c(PO)[o+]1,1.0
[O-]PC(P)NC[O+](S)c1cpc(S)c(CS)p1,1.0
[O-]PC(P)NC[O+](S)c1cpc(S)c(CS)c1,1.0
[O-]PC(P)NC[O+](S)c1cpc(S)c(CS)[o+]1,1.0
[O-]PC(P)NC[O+](S)c1cpc(S)c(CO)p1,1.0
[O-]PC(P)NC[O+](S)c1cpc(S)c(CO)c1,1.0
[O-]PC(P)NC[O+](S)c1cpc(S)c(CO)[o+]1,1.0
[O-]PC(P)NC[O+](S)c1cpc(O)c([N-]S)p1,1.0
[O-]PC(P)NC[O+](S)c1cpc(O)c([N-]S)c1,1.0
[O-]PC(P)NC[O+](S)c1cpc(O)c([N-]S)[o+]1,1.0
[O-]PC(P)NC[O+](S)c1cpc(O)c([N-]O)p1,1.0
[O-]PC(P)NC[O+](S)c1cpc(O)c([N-]O)c1,1.0
[O-]PC(P)NC[O+](S)c1cpc(O)c([N-]O)[o+]1,1.0
[O-]PC(P)NC[O+](S)c1cpc(O)c(PS)p1,1.0
[O-]PC(P)NC[O+](S)c1cpc(O)c(PS)c1,1.0
[O-]PC(P)NC[O+](S)c1cpc(O)c(PS)[o+]1,1.0
[O-]PC(P)NC[O+](S)c1cpc(O)c(PO)p1,1.0
[O-]PC(P)NC[O+](S)c1cpc(O)c(PO)c1,1.0
[O-]PC(P)NC[O+](S)c1cpc(O)c(PO)[o+]1,1.0
[O-]PC(P)NC[O+](S)c1cpc(O)c(CS)p1,1.0
[O-]PC(P)NC[O+](S)c1cpc(O)c(CS)c1,1.0
[O-]PC(P)NC[O+](S)c1cpc(O)c(CS)[o+]1,1.0
[O-]PC(P)NC[O+](S)c1cpc(O)c(CO)p1,1.0
[O-]PC(P)NC[O+](S)c1cpc(O)c(CO)c1,1.0
[O-]PC(P)NC[O+](S)c1cpc(O)c(CO)[o+]1,1.0
[O-]PC(P)NC[O+](S)c1ccc(S)c([N-]S)c1,1.0
[O-]PC(P)NC[O+](S)c1ccc(S)c([N-]S)[o+]1,1.0
[O-]PC(P)NC[O+](S)c1ccc(S)c([N-]O)c1,1.0
[O-]PC(P)NC[O+](S)c1ccc(S)c([N-]O)[o+]1,1.0
[O-]PC(P)NC[O+](S)c1ccc(S)c(PS)p1,1.0
[O-]PC(P)NC[O+](S)c1ccc(S)c(PS)c1,1.0
[O-]PC(P)NC[O+](S)c1ccc(S)c(PS)[o+]1,1.0
[O-]PC(P)NC[O+](S)c1ccc(S)c(PO)p1,1.0
[O-]PC(P)NC[O+](S)c1ccc(S)c(PO)c1,1.0
[O-]PC(P)NC[O+](S)c1ccc(S)c(PO)[o+]1,1.0
[O-]PC(P)NC[O+](S)c1ccc(S)c(CS)c1,1.0
[O-]PC(P)NC[O+](S)c1ccc(S)c(CS)[o+]1,1.0
[O-]PC(P)NC[O+](S)c1ccc(S)c(CO)c1,1.0
[O-]PC(P)NC[O+](S)c1ccc(S)c(CO)[o+]1,1.0
[O-]PC(P)NC[O+](S)c1ccc(O)c([N-]S)c1,1.0
[O-]PC(P)NC[O+](S)c1ccc(O)c([N-]S)[o+]1,1.0
[O-]PC(P)NC[O+](S)c1ccc(O)c([N-]O)c1,1.0
[O-]PC(P)NC[O+](S)c1ccc(O)c([N-]O)[o+]1,1.0
[O-]PC(P)NC[O+](S)c1ccc(O)c(PS)c1,1.0
[O-]PC(P)NC[O+](S)c1ccc(O)c(PS)[o+]1,1.0
[O-]PC(P)NC[O+](S)c1ccc(O)c(PO)c1,1.0
[O-]PC(P)NC[O+](S)c1ccc(O)c(PO)[o+]1,1.0
[O-]PC(P)NC[O+](S)c1ccc(O)c(CS)c1,1.0
[O-]PC(P)NC[O+](S)c1ccc(O)c(CS)[o+]1,1.0
[O-]PC(P)NC[O+](S)c1ccc(O)c(CO)c1,1.0
[O-]PC(P)NC[O+](S)c1ccc(O)c(CO)[o+]1,1.0
[O-]PC(P)NC[O+](S)c1cc(PS)c(S)cp1,1.0
[O-]PC(P)NC[O+](S)c1cc(CS)c(S)cp1,1.0
[O-]PC(P)NC[O+](S)c1cc(CS)c(O)cp1,1.0
[O-]PC(P)NC[O+](S)c1cc(CO)c(S)p[o+]1,1.0
[O-]PC(P)NC[O+](S)c1cc(CO)c(O)p[o+]1,1.0
[O-]PC(P)NC[O+](S)c1c[o+]c(S)c([N-]S)c1,1.0
[O-]PC(P)NC[O+](S)c1c[o+]c(S)c(PS)p1,1.0
[O-]PC(P)NC[O+](S)c1c[o+]c(S)c(PS)c1,1.0
[O-]PC(P)NC[O+](S)c1c[o+]c(S)c(PO)c1,1.0
[O-]PC(P)NC[O+](S)c1c[o+]c(S)c(CS)p1,1.0
[O-]PC(P)NC[O+](S)c1c[o+]c(S)c(CS)c1,1.0
[O-]PC(P)NC[O+](S)c1c[o+]c(S)c(CO)c1,1.0
[O-]PC(P)NC[O+](S)c1c[o+]c(O)c([N-]O)p1,1.0
[O-]PC(P)NC[O+](S)c1c[o+]c(O)c([N-]O)c1,1.0
[O-]PC(P)NC[O+](S)c1c[o+]c(O)c(PS)c1,1.0
[O-]PC(P)NC[O+](S)c1c[o+]c(O)c(PO)c1,1.0
[O-]PC(P)NC[O+](S)c1c[o+]c(O)c(CS)c1,1.0
[O-]PC(P)NC[O+](S)c1c[o+]c(O)c(CS)[o+]1,1.0
[O-]PC(P)NC[O+](S)c1c[o+]c(O)c(CO)c1,1.0
[O-]PC(P)NC[O+](S)c1[o+]pc(S)c([N-]O)[o+]1,1.0
[O-]PC(P)NC[O+](S)c1[o+]pc(O)c([N-]S)[o+]1,1.0
[O-]PC(P)NC[O+](O)c1cpc(S)c([N-]S)p1,1.0
[O-]PC(P)NC[O+](O)c1cpc(S)c([N-]S)c1,1.0
[O-]PC(P)NC[O+](O)c1cpc(S)c([N-]S)[o+]1,1.0
[O-]PC(P)NC[O+](O)c1cpc(S)c([N-]O)c1,1.0
[O-]PC(P)NC[O+](O)c1cpc(S)c([N-]O)[o+]1,1.0
[O-]PC(P)NC[O+](O)c1cpc(S)c(PS)c1,1.0
[O-]PC(P)NC[O+](O)c1cpc(S)c(PO)c1,1.0
[O-]PC(P)NC[O+](O)c1cpc(S)c(PO)[o+]1,1.0
[O-]PC(P)NC[O+](O)c1cpc(S)c(CS)c1,1.0
[O-]PC(P)NC[O+](O)c1cpc(S)c(CS)[o+]1,1.0
[O-]PC(P)NC[O+](O)c1cpc(S)c(CO)c1,1.0
[O-]PC(P)NC[O+](O)c1cpc(S)c(CO)[o+]1,1.0
[O-]PC(P)NC[O+](O)c1cpc(O)c([N-]S)c1,1.0
[O-]PC(P)NC[O+](O)c1cpc(O)c([N-]S)[o+]1,1.0
[O-]PC(P)NC[O+](O)c1cpc(O)c([N-]O)c1,1.0
[O-]PC(P)NC[O+](O)c1cpc(O)c([N-]O)[o+]1,1.0
[O-]PC(P)NC[O+](O)c1cpc(O)c(PS)c1,1.0
[O-]PC(P)NC[O+](O)c1cpc(O)c(PO)c1,1.0
[O-]PC(P)NC[O+](O)c1cpc(O)c(CS)p1,1.0
[O-]PC(P)NC[O+](O)c1cpc(O)c(CS)c1,1.0
[O-]PC(P)NC[O+](O)c1cpc(O)c(CS)[o+]1,1.0
[O-]PC(P)NC[O+](O)c1cpc(O)c(CO)[o+]1,1.0
[O-]PC(P)NC[O+](O)c1ccc(S)c([N-]S)c1,1.0
[O-]PC(P)NC[O+](O)c1ccc(S)c([N-]S)[o+]1,1.0
[O-]PC(P)NC[O+](O)c1ccc(S)c(PS)c1,1.0
[O-]PC(P)NC[O+](O)c1ccc(S)c(PS)[o+]1,1.0
[O-]PC(P)NC[O+](O)c1ccc(S)c(PO)p1,1.0
[O-]PC(P)NC[O+](O)c1ccc(S)c(PO)c1,1.0
[O-]PC(P)NC[O+](O)c1ccc(S)c(PO)[o+]1,1.0
[O-]PC(P)NC[O+](O)c1ccc(S)c(CS)c1,1.0
[O-]PC(P)NC[O+](O)c1ccc(O)c([N-]S)c1,1.0
[O-]PC(P)NC[O+](O)c1ccc(O)c([N-]O)c1,1.0
[O-]PC(P)NC[O+](O)c1ccc(O)c([N-]O)[o+]1,1.0
[O-]PC(P)NC[O+](O)c1ccc(O)c(PS)c1,1.0
[O-]PC(P)NC[O+](O)c1ccc(O)c(PS)[o+]1,1.0
[O-]PC(P)NC[O+](O)c1ccc(O)c(PO)c1,1.0
[O-]PC(P)NC[O+](O)c1ccc(O)c(CS)[o+]1,1.0
[O-]PC(P)NC[O+](O)c1ccc(O)c(CO)c1,1.0
[O-]PC(P)NC[O+](O)c1cc(CS)c(S)p[o+]1,1.0
[O-]PC(P)NC[O+](O)c1cc(CO)c(S)p[o+]1,1.0
[O-]PC(P)NC[O+](O)c1c[o+]c(S)c(PS)c1,1.0
[O-]PC(P)NCP(S)c1cpc(S)c([N-]S)c1,1.0
[O-]PC(P)NCP(S)c1cpc(S)c([N-]S)[o+]1,1.0
[O-]PC(P)NCP(S)c1cpc(S)c([N-]O)c1,1.0
[O-]PC(P)NCP(S)c1cpc(S)c(PS)c1,1.0
[O-]PC(P)NCP(S)c1cpc(S)c(PS)[o+]1,1.0
[O-]PC(P)NCP(S)c1cpc(S)c(PO)c1,1.0
[O-]PC(P)NCP(S)c1cpc(S)c(CS)c1,1.0
[O-]PC(P)NCP(S)c1cpc(S)c(CS)[o+]1,1.0
[O-]PC(P)NCP(S)c1cpc(S)c(CO)c1,1.0
[O-]PC(P)NCP(S)c1cpc(O)c([N-]S)c1,1.0
[O-]PC(P)NCP(S)c1cpc(O)c([N-]S)[o+]1,1.0
[O-]PC(P)NCP(S)c1cpc(O)c([N-]O)c1,1.0
[O-]PC(P)NCP(S)c1cpc(O)c(PS)c1,1.0
[O-]PC(P)NCP(S)c1cpc(O)c(PO)c1,1.0
[O-]PC(P)NCP(S)c1cpc(O)c(PO)[o+]1,1.0
[O-]PC(P)NCP(S)c1cpc(O)c(CS)c1,1.0
[O-]PC(P)NCP(S)c1cpc(O)c(CS)[o+]1,1.0
[O-]PC(P)NCP(S)c1cpc(O)c(CO)c1,1.0
[O-]PC(P)NCP(S)c1ccc(S)c([N-]S)c1,1.0
[O-]PC(P)NCP(S)c1ccc(S)c([N-]O)c1,1.0
[O-]PC(P)NCP(S)c1ccc(S)c(PS)c1,1.0
[O-]PC(P)NCP(S)c1ccc(S)c(PO)c1,1.0
[O-]PC(P)NCP(S)c1ccc(S)c(CS)c1,1.0
[O-]PC(P)NCP(S)c1ccc(S)c(CO)c1,1.0
[O-]PC(P)NCP(S)c1ccc(O)c([N-]S)c1,1.0
[O-]PC(P)NCP(S)c1ccc(O)c([N-]O)c1,1.0
[O-]PC(P)NCP(S)c1ccc(O)c(PS)c1,1.0
[O-]PC(P)NCP(S)c1ccc(O)c(PO)c1,1.0
[O-]PC(P)NCP(S)c1ccc(O)c(PO)[o+]1,1.0
[O-]PC(P)NCP(S)c1ccc(O)c(CS)c1,1.0
[O-]PC(P)NCP(S)c1ccc(O)c(CO)c1,1.0
[O-]PC(P)NCP(S)c1cc(CS)c(O)p[o+]1,1.0
[O-]PC(P)NCP(S)c1c[o+]c(S)c(PS)c1,1.0
