smiles,aripiprazole-similarity
[SH]=[SH][SH]N=C1CCc2ccc(OCCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH]C[SH]N=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH]CNN=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH]CC=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH]CC=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH]C=[SH]N=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH]C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH]C=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH]C=C1CCc2ccc(OCCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH]=[SH][SH]C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH]=[SH]OC=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH]=[SH]NC=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH]=[SH]N=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH]=[SH]N=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH]=[SH]C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH]=[SH]=[SH]C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH]=[SH]=CC=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH]=[SH]=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH]=[SH]=C=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH]=[SH](Cl)=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH]=S=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH]=N[SH]N=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH]=N[SH]C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH]=NN=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH]=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH]=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH]=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH]1[SH][SH]C1=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH]1[SH]S1=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH](Cl)[SH]C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH](Cl)[SH]=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH](Cl)C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH](Br)[SH]C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH](Br)[SH]=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH](Br)SC=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH](Br)C=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH][SH]#CNN=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]S(Cl)=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]S(Br)=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]O[SH][SH]=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]O[SH]=[SH]C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]O[SH]=[SH]=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]OS(Br)=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]ONC=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]ONC(Cl)=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]OC=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]OC=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]OC=C1CCc2ccc(OCCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]N[SH][SH]C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]N[SH]C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]N[SH]C=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]N[SH]=[SH]C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]NNC=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]NN=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]NN=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]NN=C1CCc2ccc(OCCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]N=[SH][SH]C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]N=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]N=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]N=C1CCc2ccc(OCCCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]C[SH][SH]N=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]C[SH][SH]C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]C[SH]NN=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]C[SH]C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]CN=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]CC=C1CCc2ccc(OCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]CC=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]CC=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]C=[SH]N=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]C=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]C=C=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]C=C1CCc2ccc(OCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]C=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]C=C1CCc2ccc(OCCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]C(Cl)[SH]C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]=[SH][SH][SH]N=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]=[SH][SH]N=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]=[SH][SH]C=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]=[SH]C[SH]N=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]=[SH]=[SH]=CC=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]=[SH](Cl)[SH]C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]=[SH](Cl)[SH]=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]=[SH](Cl)C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]=NNC=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]=C[SH]=NN=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]=CN=NN=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]=C=C1CCc2ccc(OCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]=C=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]=C=C1CCc2ccc(OCCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[SH]=C=C1CCc2ccc(OCCCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[PH]NSC=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH][SH][SH]C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH][SH][SH]=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH][SH]SC=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH][SH]OC=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH][SH]CC=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH][SH]C=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH][SH]C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH][SH]C=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH][SH]=[SH]C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH][SH]=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH][SH]=C=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH][SH](Cl)C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH][SH](Cl)=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH][SH](Br)C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH][SH](Br)=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]S[SH]=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]SOC=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]SC=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]SC=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]O[SH]=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]ONC=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]OC=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]OC=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]OC=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]N[SH]=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]NOC=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]NC=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]C[SH]C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]C[SH]=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]CC=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]C=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]C=C=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]C=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]C=C1CCc2ccc(OCCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]=[SH]OC=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]=[SH]CC=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]=[SH]C=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]=[SH]C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]=[SH]C=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]=[SH]=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]=[SH]=C=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]=NSC=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]=NOC=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]=NC=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]=NC=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]=CNC=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]=C=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]=C=C1CCc2ccc(OCCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]1NC1=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH]1NC1=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH](Cl)C=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH](Cl)C(Cl)=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH](C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1)NCl,1.0
[SH]=[N+][SH](C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1)NBr,1.0
[SH]=[N+][SH](Br)N=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH](Br)C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH](Br)C=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+][SH](Br)C(Cl)=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+]S[SH]NC=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+]S[SH]=[SH]C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+]S[SH]=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+]SC=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+]SC=C1CCc2ccc(OCCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+]S(=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1)[SH]=[SH],1.0
[SH]=[N+]N[SH]C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+]N[SH]C=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+]N[SH]=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+]N=[SH]OC=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+]N=[SH]C=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+]N=[SH]=[SH]C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+]N=C=C=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+]C[SH]=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+]C[SH]=C=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+]CC[SH]=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+]CC=C1CCc2ccc(OCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+]CC=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+]CC=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+]CC=C1CCc2ccc(OCCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+]C=[SH]OC=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+]C=[SH]C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+]C=C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+]C=C=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+]C=C=C1CCc2ccc(OCCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+]C=C1CCc2ccc(OCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
[SH]=[N+]C=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
